kx,ky,kz,g0,g1,p0,p1,Real,Imaginary
0,1,2,2500000.0,2500000.0,0,0.1,0.1207769,-8.97e-05
0,1,2,2500000.0,2500000.0,0.1,0,0.1255786,0.0007765
0,1,2,2500000.0,2500000.0,0.1,0,0.1370572,-0.0001239
0,1,2,2500000.0,2500000.0,0.1,0.1,0.1321411,0.000876
0,1,2,2500000.0,2500000.0,0.1,0.1,0.1271168,-9.47e-05
0,1,3,0,0,0,0,0.1555386,0.0029253
0,1,3,0,0,0,0,0.1453344,0.000326
0,1,3,0,0,0,0.1,0.1638262,0.002909
0,1,3,0,0,0,0.1,0.1334193,0.0003718
0,1,3,0,0,0.1,0,0.1424949,0.0025746
0,1,3,0,0,0.1,0,0.1529047,0.000341
0,1,3,0,0,0.1,0.1,0.1499995,0.0025567
0,1,3,0,0,0.1,0.1,0.1403221,0.0003639
0,1,3,0,2500000.0,0,0,0.1772839,0.0028633
0,1,3,0,2500000.0,0,0,0.1165856,1.61e-05
0,1,3,0,2500000.0,0,0.1,0.1883792,0.0028036
0,1,3,0,2500000.0,0,0.1,0.1071405,0.0001093
0,1,3,0,2500000.0,0.1,0,0.1619592,0.0025319
0,1,3,0,2500000.0,0.1,0,0.121102,7.58e-05
0,1,3,0,2500000.0,0.1,0.1,0.1718807,0.0024787
0,1,3,0,2500000.0,0.1,0.1,0.1113643,0.000145
0,1,3,2500000.0,0,0,0,0.1245222,0.0026063
0,1,3,2500000.0,0,0,0,0.1665604,-0.0001076
0,1,3,2500000.0,0,0,0.1,0.1300137,0.0026526
0,1,3,2500000.0,0,0,0.1,0.1524402,-5.61e-05
0,1,3,2500000.0,0,0.1,0,0.1142182,0.0023072
0,1,3,2500000.0,0,0.1,0,0.1777318,-6.07e-05
0,1,3,2500000.0,0,0.1,0.1,0.1192832,0.0023414
0,1,3,2500000.0,0,0.1,0.1,0.1624447,-2.81e-05
0,1,3,2500000.0,2500000.0,0,0,0.1427201,0.0026259
0,1,3,2500000.0,2500000.0,0,0,0.1336797,-0.00031
0,1,3,2500000.0,2500000.0,0,0.1,0.1514218,0.0026049
0,1,3,2500000.0,2500000.0,0,0.1,0.1225614,-0.0002278
0,1,3,2500000.0,2500000.0,0.1,0,0.1305961,0.002328
0,1,3,2500000.0,2500000.0,0.1,0,0.1421335,-0.0002298
0,1,3,2500000.0,2500000.0,0.1,0.1,0.1384291,0.0023053
0,1,3,2500000.0,2500000.0,0.1,0.1,0.1302017,-0.0001716
0,1,4,0,0,0,0,0.1515811,0.0040759
0,1,4,0,0,0,0,0.1389761,4.03e-05
0,1,4,0,0,0,0.1,0.1607398,0.0040728
0,1,4,0,0,0,0.1,0.1269247,0.0001148
0,1,4,0,0,0.1,0,0.1382056,0.0036486
0,1,4,0,0,0.1,0,0.1470702,8.76e-05
0,1,4,0,0,0.1,0.1,0.1464759,0.0036306
